Date,One Prize,Two Top,Three Top,Two Low,Three Fronts/Three Bottoms 1,Three Fronts/Three Bottoms 2,Three Fronts/Three Bottoms 3,Three Fronts/Three Bottoms 4
16/05/2566,132903,03,903,99,678,739,739,731
02/05/2566,843019,19,019,65,500,780,780,269
16/04/2566,984906,06,906,71,670,678,678,797
01/04/2566,087907,07,907,99,111,914,914,698
16/03/2566,025873,73,873,73,420,800,800,544
01/03/2566,417652,52,652,55,577,919,919,984
16/02/2566,590417,17,417,80,195,664,664,523
01/02/2566,297411,11,411,92,181,789,789,664
17/01/2566,812519,19,519,47,389,443,443,849
30/12/2565,157196,96,196,58,007,522,522,425
16/12/2565,845093,93,093,14,411,912,912,855
01/12/2565,375805,05,805,08,170,786,786,421
16/11/2565,121789,89,789,64,532,722,722,973
01/11/2565,913106,06,106,70,722,839,839,922
16/10/2565,613106,06,106,15,037,158,158,799
01/10/2565,484669,69,669,50,206,996,996,278
16/09/2565,943703,03,703,75,540,971,971,631
01/09/2565,929332,32,332,83,298,725,725,604
16/08/2565,331583,83,583,42,271,300,300,876
01/08/2565,436594,94,594,14,266,893,893,447
16/07/2565,620405,05,405,53,159,834,834,279
01/07/2565,981417,17,417,61,242,287,287,542
16/06/2565,361807,07,807,92,285,549,549,228
01/06/2565,319196,96,196,02,679,817,817,652
16/05/2565,155012,12,012,06,247,736,736,540
02/05/2565,658642,42,642,09,518,778,778,325
16/04/2565,395919,19,919,58,289,859,859,508
01/04/2565,970618,18,618,10,391,738,738,870
16/03/2565,737867,67,867,03,349,985,985,989
01/03/2565,061905,05,905,07,236,834,834,691
17/02/2565,098597,97,597,57,085,644,644,816
01/02/2565,944308,08,308,30,061,942,942,509
17/01/2565,880159,59,159,92,731,786,786,529
30/12/2564,819068,68,068,36,591,979,979,547
16/12/2564,639235,35,235,83,097,629,629,522
01/12/2564,077258,58,258,82,739,740,740,485
16/11/2564,032761,61,761,57,471,648,648,844
01/11/2564,045037,37,037,95,247,458,458,755
16/10/2564,386372,72,372,38,602,964,964,798
01/10/2564,578171,71,171,83,285,361,361,449
16/09/2564,070935,35,935,90,609,817,817,379
01/09/2564,114475,75,475,79,278,302,302,458
16/08/2564,046750,50,750,23,421,666,666,355
01/08/2564,910261,61,261,69,103,307,307,785
16/07/2564,556725,25,725,70,058,174,174,927
01/07/2564,713517,17,517,29,073,794,794,511
16/06/2564,691861,61,861,17,007,054,054,668
01/06/2564,292972,72,972,45,193,620,620,978
16/05/2564,684579,79,579,14,615,843,843,970
02/05/2564,501272,72,272,18,018,306,306,498
16/04/2564,100787,87,787,56,013,143,143,478
01/04/2564,472270,70,270,05,283,755,755,577
16/03/2564,890422,22,422,19,036,902,902,396
01/03/2564,835538,38,538,73,290,838,838,806
16/02/2564,424603,03,603,39,318,861,861,817
01/02/2564,912307,07,307,97,248,605,605,651
17/01/2564,384395,95,395,15,367,653,653,878
30/12/2563,803628,28,628,19,336,804,804,924
16/12/2563,201303,03,303,70,377,828,828,517
01/12/2563,100994,94,994,84,093,776,776,984
16/11/2563,972661,61,661,46,368,741,741,255
01/11/2563,506404,04,404,40,154,598,598,245
16/10/2563,286051,51,051,38,189,464,464,980
01/10/2563,837893,93,893,59,594,757,757,595
16/09/2563,244083,83,083,57,127,220,220,853
01/09/2563,999997,97,997,98,636,725,725,957
16/08/2563,945811,11,811,88,614,712,712,733
01/08/2563,569391,91,391,92,575,931,931,809
16/07/2563,873286,86,286,53,510,533,533,682
01/07/2563,347258,58,258,83,095,362,362,307
16/06/2563,516967,67,967,64,876,882,882,625
01/06/2563,831567,67,567,24,264,489,489,582
01/04/2563,051095,95,095,22,285,430,430,364
16/03/2563,503446,46,446,77,258,726,726,661
01/03/2563,875938,38,938,98,294,328,328,780
16/02/2563,781403,03,403,94,515,952,952,918
01/02/2563,589227,27,227,06,259,552,552,927
17/01/2563,491774,74,774,68,004,132,132,595
30/12/2562,510541,41,541,81,116,382,382,250
16/12/2562,529924,24,924,97,043,138,138,665
01/12/2562,453522,22,522,81,261,617,617,457
16/11/2562,017223,23,223,32,164,640,640,194
01/11/2562,967375,75,375,79,323,806,806,206
16/10/2562,812564,64,564,15,255,625,625,598
01/10/2562,691197,97,197,59,392,920,920,797
16/09/2562,340388,88,388,85,733,947,947,939
01/09/2562,798787,87,787,20,210,847,847,439
16/08/2562,775476,76,476,89,149,912,912,580
01/08/2562,387006,06,006,58,135,983,983,795
15/07/2562,369765,65,765,88,355,901,901,556
01/07/2562,943647,47,647,86,239,864,864,375
16/06/2562,174055,55,055,29,625,884,884,800
01/06/2562,516461,61,461,46,589,713,713,560
16/05/2562,962526,26,526,71,669,949,949,828
02/05/2562,061324,24,324,25,043,476,476,699
16/04/2562,570331,31,331,23,512,930,930,968
01/04/2562,109767,67,767,52,888,959,959,975
16/03/2562,724628,28,628,64,148,883,883,877
01/03/2562,345650,50,650,65,137,999,999,837
16/02/2562,074824,24,824,56,881,910,910,879
01/02/2562,967134,34,134,04,643,779,779,948
17/01/2562,197079,79,079,65,206,412,412,660
30/12/2561,735867,67,867,02,031,913,913,884
16/12/2561,356564,64,564,62,480,948,948,369
01/12/2561,021840,40,840,67,045,307,307,988
16/11/2561,989903,03,903,16,471,930,930,876
01/11/2561,149840,40,840,58,384,576,576,509
16/10/2561,200515,15,515,93,186,392,392,212
01/10/2561,452643,43,643,99,594,726,726,810
16/09/2561,149760,60,760,79,323,539,539,297
01/09/2561,734510,10,510,26,464,512,512,202
16/08/2561,586117,17,117,10,340,670,670,815
01/08/2561,386602,02,602,78,832,903,903,726
16/07/2561,596324,24,324,27,403,530,530,362
01/07/2561,963623,23,623,83,429,901,901,217
16/06/2561,223131,31,131,46,432,507,507,868
01/06/2561,988117,17,117,95,310,553,553,650
16/05/2561,075629,29,629,20,130,357,357,506
02/05/2561,248038,38,038,85,527,980,980,602
16/04/2561,739229,29,229,60,273,654,654,526
01/04/2561,412073,73,073,85,131,787,787,924
16/03/2561,218559,59,559,82,064,720,720,489
02/03/2561,759415,15,415,29,318,870,870,723
16/02/2561,309915,15,915,39,007,388,388,748
01/02/2561,026853,53,853,31,106,947,947,519
17/01/2561,203823,23,823,50,624,799,799,397
30/12/2560,911234,34,234,98,373,495,495,953
16/12/2560,955596,96,596,89,616,836,836,938
01/12/2560,451005,05,005,33,303,626,626,601
16/11/2560,292391,91,391,98,831,961,961,628
01/11/2560,533726,26,726,85,165,425,425,485
16/10/2560,413494,94,494,86,180,971,971,287
01/10/2560,880714,14,714,52,611,726,726,952
16/09/2560,170143,43,143,71,172,647,647,388
01/09/2560,143224,24,224,65,345,679,679,278
16/08/2560,715431,31,431,37,115,302,302,945
01/08/2560,756519,19,519,36,061,386,386,989
16/07/2560,820327,27,327,87,584,835,835,823
01/07/2560,112360,60,360,26,226,489,489,688
16/06/2560,943142,42,142,47,626,878,878,740
01/06/2560,053630,30,630,61,121,218,218,881
16/05/2560,454891,91,891,53,008,396,396,603
02/05/2560,008656,56,656,35,573,949,949,923
16/04/2560,816729,29,729,40,766,973,973,807
01/04/2560,392785,85,785,80,020,057,057,709
16/03/2560,273863,63,863,92,324,918,918,941
01/03/2560,978453,53,453,78,450,560,560,577
16/02/2560,229116,16,116,14,128,464,464,953
01/02/2560,054672,72,672,42,066,807,807,628
17/01/2560,145157,57,157,25,511,663,663,836
30/12/2559,377712,12,712,46,304,890,890,769
16/12/2559,435286,86,286,35,366,596,596,716
01/12/2559,086069,69,069,77,513,873,873,450
16/11/2559,858383,83,383,44,040,682,682,570
01/11/2559,785438,38,438,86,824,976,976,752
16/10/2559,571947,47,947,98,692,885,885,587
01/10/2559,887102,02,102,33,194,280,280,458
16/09/2559,240650,50,650,42,493,583,583,160
01/09/2559,638684,84,684,62,334,335,335,669
16/08/2559,254004,04,004,33,366,966,966,631
01/08/2559,272932,32,932,57,538,983,983,871
16/07/2559,449764,64,764,55,552,734,734,925
01/07/2559,082460,60,460,53,169,609,609,302
16/06/2559,073816,16,816,79,251,804,804,749
01/06/2559,511825,25,825,14,111,775,775,937
16/05/2559,141737,37,737,98,382,975,975,268
02/05/2559,399459,59,459,02,238,403,403,671
16/04/2559,221609,09,609,87,008,228,228,523
01/04/2559,066720,20,720,92,390,546,546,852
16/03/2559,134918,18,918,32,855,877,877,973
01/03/2559,439686,86,686,06,426,530,530,743
16/02/2559,356364,64,364,98,312,699,699,535
01/02/2559,927800,00,800,09,625,999,999,076
17/01/2559,304371,71,371,50,031,532,532,786
30/12/2558,008217,17,217,02,246,264,264,895
17/12/2558,930255,55,255,08,140,250,250,638
01/12/2558,915350,50,350,78,238,181,181,175
16/11/2558,795283,83,283,03,241,028,028,802
01/11/2558,361211,11,211,45,106,757,757,473
16/10/2558,968630,30,630,62,457,134,134,054
01/10/2558,594825,25,825,07,175,918,918,799
16/09/2558,743148,48,148,06,435,209,209,084
01/09/2558,021094,94,094,89,260,403,403,819
16/08/2558,033363,63,363,40,781,227,227,648
01/08/2558,518677,77,677,53,333,598,598,889
16/07/2558,121507,07,507,49,761,461,461,294
01/07/2558,759049,49,049,26,565,814,814,567
16/06/2558,644742,42,742,05,429,253,253,532
02/06/2558,388881,81,881,65,314,700,700,969
16/05/2558,011421,21,421,38,799,484,484,928
02/05/2558,543466,66,466,30,818,163,163,195
16/04/2558,506260,60,260,38,101,164,164,973
01/04/2558,605704,04,704,70,558,962,962,861
16/03/2558,048151,51,151,92,339,622,622,757
01/03/2558,240237,37,237,34,498,031,031,008
16/02/2558,001864,64,864,90,843,103,103,392
01/02/2558,155537,37,537,79,083,286,286,008
16/01/2558,244351,51,351,74,068,398,398,877
30/12/2557,461704,04,704,57,853,982,982,950
16/12/2557,948354,54,354,90,080,763,763,901
01/12/2557,480449,49,449,11,820,380,380,161
16/11/2557,479804,04,804,25,179,422,422,709
01/11/2557,206608,08,608,44,607,203,203,979
16/10/2557,656409,09,409,94,647,784,784,910
01/10/2557,375615,15,615,44,251,086,086,520
16/09/2557,772269,69,269,35,112,257,257,790
01/09/2557,856763,63,763,22,308,912,912,490
16/08/2557,662842,42,842,91,639,912,912,633
01/08/2557,766391,91,391,82,349,576,576,637
16/07/2557,468728,28,728,45,104,944,944,205
01/07/2557,378477,77,477,39,123,271,271,864
16/06/2557,673920,20,920,95,158,140,140,576
01/06/2557,781198,98,198,18,160,324,324,636
16/05/2557,087523,23,523,20,150,505,505,246
02/05/2557,103297,97,297,52,143,158,158,797
16/04/2557,153406,06,406,26,344,013,013,634
01/04/2557,028866,66,866,95,186,499,499,938
16/03/2557,531404,04,404,79,250,305,305,904
01/03/2557,906318,18,318,35,116,537,537,798
16/02/2557,384245,45,245,01,397,530,530,521
01/02/2557,180149,49,149,95,406,492,492,976
16/01/2557,306902,02,902,52,242,077,077,510
30/12/2556,561072,72,072,48,513,750,750,275
16/12/2556,341767,67,767,79,111,228,228,826
01/12/2556,168795,95,795,27,734,766,766,980
16/11/2556,806925,25,925,28,069,304,304,753
01/11/2556,739804,04,804,47,502,020,020,173
16/10/2556,963289,89,289,60,402,529,529,952
01/10/2556,647882,82,882,14,576,324,324,028
16/09/2556,562684,84,684,63,056,235,235,754
01/09/2556,548123,23,123,05,281,570,570,045
16/08/2556,321327,27,327,20,417,945,945,201
01/08/2556,356435,35,435,82,880,451,451,329
16/07/2556,566996,96,996,86,352,210,210,526
01/07/2556,646905,05,905,51,075,284,284,904
16/06/2556,289673,73,673,69,390,098,098,502
01/06/2556,935489,89,489,90,480,713,713,768
16/05/2556,687125,25,125,56,034,261,261,945
02/05/2556,603458,58,458,07,272,359,359,830
16/04/2556,843846,46,846,86,834,862,862,828
01/04/2556,571688,88,688,53,170,430,430,725
16/03/2556,968433,33,433,52,860,959,959,529
01/03/2556,976241,41,241,37,972,721,721,775
16/02/2556,368257,57,257,09,657,708,708,386
01/02/2556,565566,66,566,66,452,695,695,782
16/01/2556,820981,81,981,08,555,196,196,334
30/12/2555,302358,58,358,00,589,864,864,832
16/12/2555,529524,24,524,72,734,745,745,008
01/12/2555,110443,43,443,43,434,553,553,303
16/11/2555,639500,00,500,15,576,560,560,627
01/11/2555,524694,94,694,63,217,188,188,338
16/10/2555,281343,43,343,28,152,089,089,868
01/10/2555,124025,25,025,58,940,554,554,873
16/09/2555,540143,43,143,79,242,752,752,770
01/09/2555,329997,97,997,07,736,598,598,639
16/08/2555,683877,77,877,28,032,612,612,730
01/08/2555,895590,90,590,50,820,599,599,745
16/07/2555,904050,50,050,11,897,224,224,042
01/07/2555,915900,00,900,60,715,656,656,611
16/06/2555,159373,73,373,51,238,790,790,547
01/06/2555,882727,27,727,38,606,576,576,399
16/05/2555,814418,18,418,31,504,309,309,101
02/05/2555,889501,01,501,29,589,597,597,468
16/04/2555,583470,70,470,62,216,088,088,754
01/04/2555,257562,62,562,69,581,074,074,332
16/03/2555,607064,64,064,08,606,333,333,350
01/03/2555,222518,18,518,79,295,135,135,199
16/02/2555,648684,84,684,18,906,214,214,420
01/02/2555,320605,05,605,32,749,426,426,598
16/01/2555,451445,45,445,81,328,150,150,639
30/12/2554,526402,02,402,65,168,026,026,597
16/12/2554,884178,78,178,21,784,235,235,295
01/12/2554,408147,47,147,02,922,253,253,739
16/11/2554,997777,77,777,57,425,551,551,993
01/11/2554,805540,40,540,54,771,380,380,221
16/10/2554,955756,56,756,83,991,057,057,507
01/10/2554,511052,52,052,15,957,104,104,499
16/09/2554,731198,98,198,28,384,645,645,589
01/09/2554,724533,33,533,85,847,021,021,821
16/08/2554,536960,60,960,62,814,345,345,005
01/08/2554,218756,56,756,12,703,583,583,221
16/07/2554,116556,56,556,12,227,052,052,609
01/07/2554,622953,53,953,51,390,160,160,463
16/06/2554,351276,76,276,88,486,167,167,582
01/06/2554,562370,70,370,46,656,346,346,556
16/05/2554,406417,17,417,05,700,044,044,889
02/05/2554,054136,36,136,85,421,945,945,524
16/04/2554,825988,88,988,44,263,213,213,593
01/04/2554,814931,31,931,01,723,584,584,036
16/03/2554,593331,31,331,96,209,945,945,737
01/03/2554,656037,37,037,97,544,357,357,396
16/02/2554,481746,46,746,27,535,510,510,388
01/02/2554,610089,89,089,55,596,361,361,432
16/01/2554,281062,62,062,23,227,185,185,546
30/12/2553,884112,12,112,49,936,153,153,933
16/12/2553,334380,80,380,24,529,315,315,306
01/12/2553,181752,52,752,09,664,470,470,086
16/11/2553,813993,93,993,43,763,979,979,129
01/11/2553,191100,00,100,59,653,968,968,739
16/10/2553,621377,77,377,42,310,518,518,872
01/10/2553,488372,72,372,02,091,996,996,246
16/09/2553,017422,22,422,66,103,316,316,075
01/09/2553,354656,56,656,11,784,570,570,096
16/08/2553,911097,97,097,64,986,578,578,689
01/08/2553,210008,08,008,10,769,182,182,191
16/07/2553,180387,87,387,34,309,219,219,024
01/07/2553,480239,39,239,68,893,450,450,961
16/06/2553,500104,04,104,73,200,628,628,816
01/06/2553,444874,74,874,81,374,298,298,673
16/05/2553,480012,12,012,12,293,151,151,008
02/05/2553,360371,71,371,06,382,040,040,618
16/04/2553,211743,43,743,96,811,744,744,285
01/04/2553,959517,17,517,22,174,663,663,040
16/03/2553,364222,22,222,97,619,996,996,756
01/03/2553,215227,27,227,97,457,627,627,470
16/02/2553,133707,07,707,03,137,026,026,985
01/02/2553,186312,12,312,14,936,577,577,403
16/01/2553,073577,77,577,67,413,459,459,646
30/12/2552,994304,04,304,87,993,337,337,598
16/12/2552,685141,41,141,05,694,775,775,142
